Dataset,AE_1,AE_2,AE_3,AE_4,target
Yahoo_A1real_10_data,1.9073443,-0.661042,0.35273716,-0.72451216,4
Yahoo_A1real_11_data,-0.70777893,0.0007855019,-0.43541265,1.187789,2
Yahoo_A1real_12_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_13_data,-0.9194978,-0.48137718,-0.72425926,2.2433043,4
Yahoo_A1real_14_data,-0.43486196,0.103475034,-0.0046540075,0.1727551,0
Yahoo_A1real_15_data,-0.91718704,-0.53623885,-0.7267104,2.2861316,4
Yahoo_A1real_16_data,-1.0753458,0.6023717,-0.73393685,0.041778963,4
Yahoo_A1real_17_data,-0.4931167,-0.27364978,0.8864198,0.80903524,4
Yahoo_A1real_18_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_19_data,0.0052298796,0.13964052,0.31543824,-0.30924633,4
Yahoo_A1real_1_data,1.1979843,-0.61959,0.84816897,-0.41377813,4
Yahoo_A1real_20_data,0.032971967,0.21095558,0.011990507,-0.40464965,4
Yahoo_A1real_21_data,-0.8072014,-1.1042126,0.45063967,2.1148498,0
Yahoo_A1real_22_data,-0.23688552,0.5601092,-0.47263795,-0.78979087,2
Yahoo_A1real_23_data,0.3501092,-0.7041838,1.1841385,0.33333224,4
Yahoo_A1real_24_data,-0.88615984,-0.9377646,-0.50707513,2.3722897,0
Yahoo_A1real_25_data,-0.91434705,-1.1713824,-0.762348,2.6110837,2
Yahoo_A1real_26_data,-0.2883094,-0.036331944,-0.108226255,0.5822319,2
Yahoo_A1real_27_data,-0.8620045,-0.9603893,-0.46410868,2.4547641,4
Yahoo_A1real_28_data,-0.006909735,0.092904516,0.027395347,-0.04933002,2
Yahoo_A1real_29_data,-0.5281477,0.06193585,-0.070556685,0.8030984,0
Yahoo_A1real_2_data,-0.9233989,-0.9953693,-0.7071998,2.473956,4
Yahoo_A1real_30_data,-0.97778314,-0.063363574,-0.73211473,1.850324,2
Yahoo_A1real_31_data,-0.9075087,-1.1745094,-0.5203627,2.4934978,2
Yahoo_A1real_32_data,-0.2529939,0.623839,-0.62324226,-0.91034335,4
Yahoo_A1real_33_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_34_data,-0.4092625,0.64559186,-0.7070516,-0.7731413,4
Yahoo_A1real_35_data,-0.8235667,-0.90315,-0.40540022,2.419694,0
Yahoo_A1real_36_data,-0.021611549,0.607801,-0.69763374,-1.0162324,4
Yahoo_A1real_37_data,-0.056945007,-0.62172633,1.4810529,0.41265967,4
Yahoo_A1real_38_data,0.32435578,-0.29369497,0.8899931,0.097302,4
Yahoo_A1real_39_data,1.5032276,-0.03800746,-0.022971276,-0.87821454,4
Yahoo_A1real_3_data,-0.89824367,-1.0418153,-0.7582036,2.6245415,4
Yahoo_A1real_40_data,-0.49137115,0.6721782,-0.7803935,-0.75591654,2
Yahoo_A1real_41_data,-0.52149546,-0.037469395,0.0995514,0.8605816,0
Yahoo_A1real_42_data,-0.7745938,-0.597686,0.044766907,1.7944436,2
Yahoo_A1real_43_data,1.6763566,-0.038629837,-0.114111274,-1.0322914,4
Yahoo_A1real_44_data,-0.16583432,0.56541836,-0.56996846,-0.7442359,2
Yahoo_A1real_45_data,0.4160453,-0.8745587,1.3347657,0.29102847,1
Yahoo_A1real_46_data,-0.8622976,-1.2383876,0.041093525,2.3846033,2
Yahoo_A1real_47_data,-0.8604254,-0.36552253,-0.44772586,1.9131466,4
Yahoo_A1real_48_data,-0.789133,0.554211,0.060770053,-0.20552412,2
Yahoo_A1real_49_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_4_data,-0.87987536,-0.32887375,-0.36199895,1.8532351,4
Yahoo_A1real_50_data,-0.9585651,-0.1693649,-0.74800414,1.8512695,0
Yahoo_A1real_51_data,-0.6861797,-0.5451951,-0.083619915,1.9708412,0
Yahoo_A1real_52_data,0.3608324,-0.4537585,0.76381195,0.25256905,4
Yahoo_A1real_53_data,-0.88615984,-0.9377646,-0.50707513,2.3722897,0
Yahoo_A1real_54_data,-0.87058604,-0.21277615,-0.5466677,1.7628841,2
Yahoo_A1real_55_data,1.756694,-0.11147379,-0.11997475,-0.99178845,4
Yahoo_A1real_56_data,0.65189016,0.23419908,-0.2820875,-0.724363,4
Yahoo_A1real_57_data,-0.088309765,0.43729022,-0.37850463,-0.76305693,4
Yahoo_A1real_58_data,-0.90652883,-1.1182572,-0.66064197,2.5269935,4
Yahoo_A1real_59_data,-0.76061094,-1.0558988,1.6729585,1.4818487,0
Yahoo_A1real_5_data,1.8061454,0.15436043,-0.61306375,-1.2523854,4
Yahoo_A1real_60_data,-0.9083656,0.21430832,-0.51340497,1.0915693,4
Yahoo_A1real_61_data,-1.1652142,0.5554636,-0.8887955,0.34901425,2
Yahoo_A1real_62_data,-0.8962823,-1.0270396,-0.6689783,2.596828,4
Yahoo_A1real_63_data,-0.050127465,-1.0169754,0.9640656,1.148627,2
Yahoo_A1real_64_data,-0.722314,0.60180116,-0.73045886,-0.27812195,0
Yahoo_A1real_65_data,0.44235355,0.33011332,-0.26683918,-0.8546045,4
Yahoo_A1real_66_data,-0.8906788,-0.4711491,-0.43116087,1.8613814,2
Yahoo_A1real_67_data,-0.88697773,-1.098799,-0.715864,2.6482685,2
Yahoo_A1real_6_data,-0.88834,-0.34890482,-0.6414854,2.1010633,4
Yahoo_A1real_7_data,-0.8907742,-1.0590473,-0.19099747,2.2301185,4
Yahoo_A1real_8_data,-0.80310464,-0.07931863,0.03774335,1.2443408,0
Yahoo_A1real_9_data,1.8898712,0.09048009,-0.622594,-1.2458594,4
